epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP95(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
116,6388.69,1.1033,1.24717,1.60377,0.6333,0.47282,0.54702,0.31049,0.04298,0.32668,1.81025,1.7036,2.48923,0.000644219,0.000644219,0.000644219
117,6453.24,1.0802,1.20492,1.59078,0.55389,0.52562,0.5595,0.31845,0.03894,0.33515,1.82439,1.69925,2.5444,0.000641125,0.000641125,0.000641125
118,6512.31,1.0769,1.20495,1.5973,0.53283,0.60254,0.55614,0.34572,0.02632,0.33478,1.78839,1.69717,2.49265,0.000638031,0.000638031,0.000638031
119,6574.59,1.08775,1.21282,1.59744,0.51677,0.59125,0.55505,0.35211,0.01245,0.34175,1.82466,1.6435,2.51565,0.000634937,0.000634937,0.000634937
120,6637.8,1.09058,1.22963,1.60081,0.65004,0.49769,0.55962,0.33031,0.02036,0.33925,1.82003,1.64611,2.50566,0.000631844,0.000631844,0.000631844
121,6700.79,1.09643,1.19985,1.59479,0.53225,0.52997,0.55172,0.32987,0.03778,0.3301,1.80209,1.65977,2.49945,0.00062875,0.00062875,0.00062875
122,6763.37,1.08551,1.19804,1.57882,0.57084,0.49409,0.55161,0.31653,0.02299,0.32592,1.87897,1.74594,2.60871,0.000625656,0.000625656,0.000625656
123,6825.12,1.07949,1.21805,1.58923,0.53547,0.5658,0.56637,0.35206,0.02225,0.34253,1.82162,1.63922,2.53924,0.000622563,0.000622563,0.000622563
124,6886.9,1.09772,1.19979,1.59454,0.65296,0.49096,0.54583,0.33744,0.04652,0.33902,1.83655,1.71381,2.49137,0.000619469,0.000619469,0.000619469
125,6948.95,1.06694,1.18742,1.56539,0.66659,0.48162,0.55233,0.31986,0.02147,0.32787,1.82284,1.7046,2.52111,0.000616375,0.000616375,0.000616375
126,7013.35,1.08586,1.18505,1.57097,0.64339,0.48215,0.53262,0.32452,0.06361,0.32338,1.80722,1.72599,2.51471,0.000613281,0.000613281,0.000613281
127,7080.38,1.05926,1.17929,1.56283,0.62646,0.48722,0.54006,0.32285,0.05377,0.3272,1.83889,1.73983,2.53842,0.000610188,0.000610188,0.000610188
128,7139.4,1.08276,1.18394,1.59187,0.61573,0.52704,0.5541,0.33487,0.06043,0.33358,1.82401,1.68119,2.54064,0.000607094,0.000607094,0.000607094
129,7200.97,1.05711,1.1812,1.572,0.62871,0.50226,0.55323,0.32665,0.01305,0.33378,1.83064,1.68122,2.55241,0.000604,0.000604,0.000604
